id,name,active,code_up,description
1,Las Loras,true,100002,
2,Altos de San Pedro,true,100790,
3,Lechería,true,110038,
4,La Cueva,true,110411,
5,LUQUI LSP,true,110418,
6,CICHISA,true,110434,
7,Luis Díaz,true,110483,
8,Rafael Otero,true,110485,
9,LUQUI Alanje,true,110754,
10,Lucila Morales,true,110780,
11,Kenia Guardia,true,110781,
12,Loma de San Pedro,true,110834,
13,Cañaverales,true,110868,
14,INLU,true,110886,
15,Pericote,true,110898,
16,PROLUXSA,true,110899,
17,Guarumal Beitia,true,100004,
18,Las Martinas,true,100076,
19,Las Moras,true,110008,
20,Fundacion Arauz,true,110069,
21,Antonio Beitia,true,110073,
22,Ester Sanchez,true,110075,
23,Oscar De Leon,true,110077,
24,Francisco Aizpurua,true,110078,
25,Manuel Rojas,true,110079,
26,Barqueta,true,110082,
27,El Guácimo,true,110902,
28,S S Esquivel,true,130796,
29,Jarquin,true,100001,
30,Efraín Hernández,true,100889,
31,Pinto Arauz,true,110025,
32,Fernando Rios,true,110044,
33,Gloria Quintero,true,110056,
34,Ulises Montoto,true,110080,
35,Cira Arauz,true,110081,
36,Natividad Quintero,true,110420,
37,Darío Olmos,true,110836,
38,Hernán Hernández,true,110851,
39,Cristi Quintero,true,110859,
40,Inm. Jarquin,true,130479,
41,H. Rio Vista,true,130480,
42,Nical Foundation,true,130905,
43,Calle Larga,true,110928,
44,Julissa Sanchez,true,110036,
45,Merrow,true,110055,
46,Berlina,true,110061,
47,Monte Grande,true,110062,
48,Indios,true,110063,
49,Bagala,true,110064,
50,MD Miró SA,true,110066,
51,Finca Corotú,true,110723,
52,Alcibiades Morales,true,110745,
53,Los Llanos,true,110760,
54,Sánchez y Vasquez,true,110788,
55,Efraín Hernández,true,110872,
56,Cañas Blancas,true,110893,
57,Cesar Morales,true,130863,
58,Ubaldine Pérez,true,130895,
59,Ubaldine Pérez,true,130910,
60,Ganadera Canta G,true,130918,
61,Natividad Pérez,true,130920,
62,Ganadera JM,true,130927,
63,Sanidad Vegetal,true,100013,
